motif	category	term	side	ortholog	path	pathway
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	ko01100	NA
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	map01240	Biosynthesis of cofactors
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	ko01240	NA
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	map01250	Biosynthesis of nucleotide sugars
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	ko01250	NA
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map00020	Citrate cycle (TCA cycle)
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko00020	NA
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map00480	Glutathione metabolism
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko00480	NA
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map00720	Carbon fixation pathways in prokaryotes
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko00720	NA
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map01100	Metabolic pathways
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko01100	NA
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map01110	Biosynthesis of secondary metabolites
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko01110	NA
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map01120	Microbial metabolism in diverse environments
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko01120	NA
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map01200	Carbon metabolism
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko01200	NA
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map01210	2-Oxocarboxylic acid metabolism
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko01210	NA
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map01230	Biosynthesis of amino acids
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko01230	NA
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map04146	Peroxisome
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko04146	NA
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map05230	Central carbon metabolism in cancer
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko05230	NA
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map00020	Citrate cycle (TCA cycle)
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko00020	NA
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map00480	Glutathione metabolism
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko00480	NA
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map00720	Carbon fixation pathways in prokaryotes
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko00720	NA
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map01100	Metabolic pathways
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko01100	NA
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map01110	Biosynthesis of secondary metabolites
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko01110	NA
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map01120	Microbial metabolism in diverse environments
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko01120	NA
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map01200	Carbon metabolism
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko01200	NA
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map01210	2-Oxocarboxylic acid metabolism
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko01210	NA
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map01230	Biosynthesis of amino acids
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko01230	NA
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map04146	Peroxisome
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko04146	NA
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	map05230	Central carbon metabolism in cancer
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	K00031	upstream	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	ko05230	NA
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	map00030	Pentose phosphate pathway
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	ko00030	NA
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	map00480	Glutathione metabolism
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	ko00480	NA
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	map01100	Metabolic pathways
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	ko01100	NA
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	map01110	Biosynthesis of secondary metabolites
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	ko01110	NA
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	map01120	Microbial metabolism in diverse environments
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	ko01120	NA
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	map01200	Carbon metabolism
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	ko01200	NA
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	map05230	Central carbon metabolism in cancer
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	ko05230	NA
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	map05415	Diabetic cardiomyopathy
K00036_upstream.fna.motif.h1_1	High covariation	K00036	upstream	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	ko05415	NA
K00075_upstream.fna.motif.h2_1	High power (low covariation)	K00075	upstream	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	map00520	Amino sugar and nucleotide sugar metabolism
K00075_upstream.fna.motif.h2_1	High power (low covariation)	K00075	upstream	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	ko00520	NA
K00075_upstream.fna.motif.h2_1	High power (low covariation)	K00075	upstream	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	map00550	Peptidoglycan biosynthesis
K00075_upstream.fna.motif.h2_1	High power (low covariation)	K00075	upstream	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	ko00550	NA
K00075_upstream.fna.motif.h2_1	High power (low covariation)	K00075	upstream	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	map01100	Metabolic pathways
K00075_upstream.fna.motif.h2_1	High power (low covariation)	K00075	upstream	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	ko01100	NA
K00075_upstream.fna.motif.h2_1	High power (low covariation)	K00075	upstream	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	map01250	Biosynthesis of nucleotide sugars
K00075_upstream.fna.motif.h2_1	High power (low covariation)	K00075	upstream	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	ko01250	NA
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00260	Glycine, serine and threonine metabolism
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00260	NA
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00261	Monobactam biosynthesis
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00261	NA
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00270	Cysteine and methionine metabolism
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00270	NA
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00300	Lysine biosynthesis
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00300	NA
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01100	Metabolic pathways
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01100	NA
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01110	Biosynthesis of secondary metabolites
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01110	NA
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01120	Microbial metabolism in diverse environments
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01120	NA
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01210	2-Oxocarboxylic acid metabolism
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01210	NA
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01230	Biosynthesis of amino acids
K00133_upstream.fna.motif.h2_2	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01230	NA
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00260	Glycine, serine and threonine metabolism
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00260	NA
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00261	Monobactam biosynthesis
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00261	NA
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00270	Cysteine and methionine metabolism
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00270	NA
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00300	Lysine biosynthesis
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00300	NA
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01100	Metabolic pathways
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01100	NA
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01110	Biosynthesis of secondary metabolites
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01110	NA
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01120	Microbial metabolism in diverse environments
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01120	NA
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01210	2-Oxocarboxylic acid metabolism
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01210	NA
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01230	Biosynthesis of amino acids
K00133_upstream.fna.motif.h2_1	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01230	NA
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00260	Glycine, serine and threonine metabolism
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00260	NA
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00261	Monobactam biosynthesis
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00261	NA
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00270	Cysteine and methionine metabolism
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00270	NA
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00300	Lysine biosynthesis
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00300	NA
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01100	Metabolic pathways
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01100	NA
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01110	Biosynthesis of secondary metabolites
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01110	NA
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01120	Microbial metabolism in diverse environments
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01120	NA
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01210	2-Oxocarboxylic acid metabolism
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01210	NA
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01230	Biosynthesis of amino acids
K00133_upstream.fna.motif.h1_3	High power (low covariation)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01230	NA
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00260	Glycine, serine and threonine metabolism
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00260	NA
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00261	Monobactam biosynthesis
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00261	NA
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00270	Cysteine and methionine metabolism
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00270	NA
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map00300	Lysine biosynthesis
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko00300	NA
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01100	Metabolic pathways
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01100	NA
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01110	Biosynthesis of secondary metabolites
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01110	NA
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	map01120	Microbial metabolism in diverse environments
K00133_upstream.fna.motif.h2_5	Conserved sequence (low covariation and power)	K00133	upstream	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	ko01120	NA
